Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)";Hora_definida coleta;;cargaP1_pH;cargaP2_pH;cargaP3_pH;cargaP1_Cond;cargaP2_Cond;cargaP3_Cond;cargaP1_Temp_Ag;cargaP2_Temp_Ag;cargaP3_Temp_Ag;cargaP1_OD;cargaP2_OD;cargaP3_OD;cargaP1_Turb;cargaP2_Turb;cargaP3_Turb;cargaP1_P;cargaP2_P;cargaP3_P;cargaP1_NH4;cargaP2_NH4;cargaP3_NH4;cargaP1_NO2;cargaP2_NO2;cargaP3_NO2;cargaP1_NO3;cargaP2_NO3;cargaP3_NO3;cargaP1_DBO;cargaP2_DBO;cargaP3_DBO;cargaP1_CT;cargaP2_CT;cargaP3_CT;cargaP1_CF;cargaP2_CF;cargaP3_CF;cargaP1_ST;cargaP2_ST;cargaP3_ST;cargaP2_P_;cargaP1_CF_log;cargaP2_CF_log;cargaP3_CF_log;;;;;;;;;;
19/10/22;;14:00;9,60;9,80;7,3;;;;7,5;458;;;;327;26,00;;;;26,00;3,25;;;;0,57;-2,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,4;1,7;1,58;;;25,4;1016;0;10;10;19,9;17,6;25,4;189;0;1016;10;PRI;10/19/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;11,56;;11,75;721,35;;515,03;40,95;;40,95;5,12;;0,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/10/22;1a medição das folhas 20/10;16:00;0,80;10,40;7,4;;;;7,3;262;;;;340;26,00;;;;25,60;3,61;;;;4,00;0,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17;1,3;1,06;;;23,7;408;0;1;10;21,7;19,9;26,7;167;0;1004;10;PRI;10/20/2022 16:00:00;0;0;0,2;1;1;1;1;0;-;-;1;1;;;;>0;;;7,76;;7,70;276,52;;358,84;27,44;;27,02;3,81;;4,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/22;;14:00;0,00;10,40;6,0;;;;7,2;462;;;;337;27,20;;;;26,60;1,60;;;;4,43;2,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17;1,3;1,06;;;28,0;1030;0;0;10;22,8;20,7;28,0;201;0;1030;10;PRI;10/21/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;6,29;;7,58;487,60;;355,67;28,71;;28,07;1,69;;4,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/22;FINAL DE SEMANA;;3,40;4,20;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,3;1107;0;3;4;21,6;17,0;29,5;289;0;1107;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/22;FINAL DE SEMANA;;0,00;3,40;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,4;1044;0;0;3;20,5;17,2;25,4;293;0;1044;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/10/22;;08:30;22,80;26,20;7,5;;;;7,0;266;;;;258;21,20;;;;22,00;5,44;;;;4,43;-1,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,2;1,5;1,31;;;22,1;1044;0;23;26;20,3;17,5;26,2;291;0;1044;10;PRI;10/24/2022 8:30:00;0,2;0,4;0,8;1;1;1;0;0;-;-;1;1;;;;>0;;;9,74;;9,19;347,60;;337,14;27,70;;28,75;7,11;;5,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/10/22;;08:30;0,00;22,80;6,1;;;;7,7;336;;;;264;24,60;;;;24,50;3,67;;;;4,89;1,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,3;1,6;1,44;;;23,7;1150;0;0;23;20,0;17,0;23,7;260;0;1150;10;PRI;10/25/2022 8:30:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;8,83;;11,08;483,45;;379,85;35,40;;35,25;5,28;;7,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/10/22;;08:30;0,00;22,80;7,0;;;;5,7;351;;;;202;21,60;;;;24,70;4,01;;;;3,97;-0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;16,4;0,7;0,42;;;25,4;977;0;0;23;21,2;17,0;25,4;238;0;977;10;PRI;10/26/2022 8:30:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;2,92;;2,40;146,83;;84,50;9,04;;10,33;1,68;;1,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/22;;;1,00;1,00;7,0;;;;8,3;296;;;;262;21,60;;;;25,60;3,37;;;;4,46;1,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,0;573;0;1;1;22,8;20,3;26,0;227;0;879;10;PRI;;0;0;1;1;1;1;0;0;-;-;1;1;;;;>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/22;;;0,00;1,00;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,2;887;0;0;1;23,9;19,0;32,0;264;0;887;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
