Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)"
21/10/2022;;14:00;0;10,4;6;;;;7,2;462;;;;337;27,2;;;;26,6;1,6;;;;4,43;2,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17;1,3;1,06;;;28;1030;0;0;10;22,8;20,7;28;201;0;1030;10;PRI;10/21/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
22/10/2022;FINAL DE SEMANA;;3,4;4,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,3;1107;0;3;4;21,6;17;29,5;289;0;1107;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
23/10/2022;FINAL DE SEMANA;;0;3,4;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,4;1044;0;0;3;20,5;17,2;25,4;293;0;1044;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
24/10/2022;;08:30;22,8;26,2;7,5;;;;7;266;;;;258;21,2;;;;22;5,44;;;;4,43;-1,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,2;1,5;1,31;;;22,1;1044;0;23;26;20,3;17,5;26,2;291;0;1044;10;PRI;10/24/2022 8:30:00;0,2;0,4;0,8;1;1;1;0;0;-;-;1;1;;;;>0
25/10/2022;;08:30;0;22,8;6,1;;;;7,7;336;;;;264;24,6;;;;24,5;3,67;;;;4,89;1,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,3;1,6;1,44;;;23,7;1150;0;0;23;20;17;23,7;260;0;1150;10;PRI;10/25/2022 8:30:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
26/10/2022;;08:30;0;22,8;7;;;;5,7;351;;;;202;21,6;;;;24,7;4,01;;;;3,97;-0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;16,4;0,7;0,42;;;25,4;977;0;0;23;21,2;17;25,4;238;0;977;10;PRI;10/26/2022 8:30:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
27/10/2022;;;1;1;7;;;;8,3;296;;;;262;21,6;;;;25,6;3,37;;;;4,46;1,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;573;0;1;1;22,8;20,3;26;227;0;879;10;PRI;;0;0;1;1;1;1;0;0;-;-;1;1;;;;>0
28/10/2022;;;0;1;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,2;887;0;0;1;23,9;19;32;264;0;887;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
29/10/2022;FINAL DE SEMANA;;0,2;1,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,8;856;0;0;1;24,7;22,6;29,2;222;0;879;10;PRI;;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0
30/10/2022;FINAL DE SEMANA;;0;0,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,7;423;0;0;0;24;18,3;30,7;171;0;740;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
